PDB	CHAIN	Uniprot_ID	LENGTH	RESOLUTION	PDB_BEG	PDB_END
6e2q	A	O60674	471	2.65	36	277	283	332	336	514
6e2q	B	O60674	469	2.65	37	277	281	330	337	514
6e2q	C	O60674	461	2.65	36	136	140	277	283	331	337	441	447	514
6e2q	D	O60674	429	2.65	36	136	140	277	283	330	337	415	423	439	449	465	470	481	498	514
6e2q	M	P19235	44	2.65	279	322
6e2q	N	P19235	57	2.65	279	335
6e2q	O	P19235	52	2.65	279	317	323	335
6e2q	P	P19235	47	2.65	276	322
6dxk	A	P04150	247	3.05	530	776
6dxk	B	P04150	248	3.05	530	777
6e6z	A	P02766	115	1.75	10	124
6e6z	B	P02766	115	1.75	10	124
6f2q	A	P17931	138	1.03	113	250
6e7k	A	P06858	421	2.8	33	248	258	413	422	470
6e7k	B	P06858	422	2.8	32	248	258	413	422	470
6dqj	A	Q14573	2240	3.49	5	77	85	321	350	527	534	674	691	893	961	1002	1024	1037	1043	1128	1166	1423	1434	1454	1462	1696	1717	1804	1863	2074	2111	2226	2231	2403	2449	2611
6dqj	B	Q14573	2240	3.49	5	77	85	321	350	527	534	674	691	893	961	1002	1024	1037	1043	1128	1166	1423	1434	1454	1462	1696	1717	1804	1863	2074	2111	2226	2231	2403	2449	2611
6dqj	C	Q14573	2240	3.49	5	77	85	321	350	527	534	674	691	893	961	1002	1024	1037	1043	1128	1166	1423	1434	1454	1462	1696	1717	1804	1863	2074	2111	2226	2231	2403	2449	2611
6dqj	D	Q14573	2240	3.49	5	77	85	321	350	527	534	674	691	893	961	1002	1024	1037	1043	1128	1166	1423	1434	1454	1462	1696	1717	1804	1863	2074	2111	2226	2231	2403	2449	2611
6f2l	A	P37231	259	2.1	207	265	275	474
6f2l	B	P37231	255	2.1	207	238	240	268	275	460	466	473
6f3x	A	P01042	9	None	1	9
6e8f	A	Q96QU1	343	2.99	242	288	299	594
6e8f	B	Q96QU1	344	2.99	242	289	299	594
6e8f	C	Q96QU1	333	2.99	242	292	298	499	510	589
6eey	A	Q14160	92	1.145	1098	1189
6fxx	A	O60568	700	3	33	286	293	738
6fzu	P	P48552	9	1.8	499	507
6fzu	Q	P48552	9	1.8	499	507
6g0d	A	O60885	127	1.314	42	168
6g0h	A	O60885	127	1.907	42	168
6g0r	A	O60885	127	1.25	42	168
6fzv	A	P02461	241	2.7	5	245
6fzv	B	P02461	239	2.7	7	245
6fzv	C	P02461	233	2.7	9	97	102	245
6fzv	D	Q15113	236	2.7	8	125	133	250
6eix	A	Q04771	312	2.3	192	503
6ejd	A	Q86Y38	693	2.684	253	308	318	727	733	959
6g07	P	P48552	9	1.66	499	507
6g07	Q	P48552	11	1.66	498	508
6g07	R	P48552	10	1.66	498	507
6g07	S	P48552	10	1.66	498	507
6g99	B	P35637	36	None	419	454
6g98	A	Q16790	244	2.47	18	261
6g98	B	Q16790	246	2.47	16	261
6g98	C	Q16790	242	2.47	20	261
6g98	D	Q16790	242	2.47	20	261
6gbm	B	P35637	98	None	280	377
6gbe	B	Q16513	12	None	120	131
6gbg	D	P13688	108	2.8	1	108
6evn	A	O15460	95	1.48	144	238
6exy	A	P17931	138	1.1	113	250
6eww	E	Q96RR4	8	2.679	97	104
6eww	F	Q96RR4	8	2.679	97	104
6eww	G	Q96RR4	8	2.679	97	104
6eww	H	Q96RR4	7	2.679	97	103
6dgp	A	P37231	259	3.1	207	264	276	476
6dgp	B	P37231	259	3.1	207	264	276	476
6djc	A	O60885	130	1.46	44	173
6djc	B	O60885	129	1.46	44	172
6fdo	A	Q9BVS4	286	2.6	10	66	69	130	147	313
6fdo	B	Q9BVS4	284	2.6	10	44	47	68	70	130	147	312
6gkq	A	Q05315	137	2.3	2	138
6gks	A	Q05315	140	1.38	2	141
6fe5	A	Q04609	693	1.52	55	540	544	750
6glc	A	O60260	315	1.8	1	72	100	108	143	353	356	378
6gkt	A	Q05315	140	2.1	2	141
6gkt	B	Q05315	141	2.1	1	141
6gkt	C	Q05315	138	2.1	2	139
6gkt	D	Q05315	140	2.1	2	141
6gkt	E	Q05315	140	2.1	2	141
6gkt	F	Q05315	137	2.1	2	138
6fud	A	B5UBC1	77	1.3	188	264
6ftw	A	Q08499	331	2.16	81	411
6ftw	B	Q08499	324	2.16	89	412
6ftw	C	Q08499	324	2.16	88	411
6ftw	D	Q08499	325	2.16	88	412
6cl2	A	P55210	140	2.35	57	196
6cl2	B	P55210	91	2.35	212	302
6cl2	C	P55210	140	2.35	57	196
6cl2	D	P55210	91	2.35	212	302
6fuj	A	P00746	228	2.25	16	243
6fuj	B	P00746	228	2.25	16	243
6fuj	C	P00746	228	2.25	16	243
6fuj	D	P00746	228	2.25	16	243
6fuj	E	P00746	226	2.25	16	59	62	243
6fuj	F	P00746	228	2.25	16	243
6cms	A	Q06124	497	2.68	2	34	38	235	244	293	302	313	324	527
6cnp	A	Q9UBB5	68	2.1	148	215
6cnp	B	Q9UBB5	58	2.1	153	210
6gxb	A	P00918	257	1.35	4	260
6cmp	A	Q06124	498	1.8	4	237	244	295	301	316	325	358	366	527
6cmp	B	Q06124	489	1.8	3	92	95	154	164	235	245	314	324	358	366	527
6gy2	C	P51587	12	3.11	199	210
6gy2	D	P51587	12	3.11	199	210
6cnm	A	O15554	359	3.4	10	123	142	386
6cnm	B	O15554	359	3.4	10	123	142	386
6cnm	C	O15554	359	3.4	10	123	142	386
6cnm	D	O15554	359	3.4	10	123	142	386
6cnm	E	P0DP23	66	3.4	81	146
6cnm	F	P0DP23	66	3.4	81	146
6cnm	G	P0DP23	66	3.4	81	146
6cnm	H	P0DP23	66	3.4	81	146
6g3t	A	Q9BZ95	116	2.53	266	343	360	397
6g3t	B	Q9BZ95	115	2.53	266	343	359	395
6g3t	C	Q9BZ95	112	2.53	266	343	359	392
6g3t	D	Q9BZ95	114	2.53	266	343	359	394
6ggb	A	P04637	198	1.32	95	292
6ggb	B	P04637	198	1.32	94	291
6cbx	A	Q9NRG4	428	1.94	5	432
6cbx	B	Q9NRG4	432	1.94	1	432
6ggd	A	P04637	196	1.4000088608	96	291
6ggd	B	P04637	198	1.4000088608	94	291
6mk3	A	P27695	279	1.478	40	318
6mlc	A	Q8NEZ4	84	1.8	1055	1138
6mlc	B	Q8NEZ4	84	1.8	1055	1138
6mlc	C	Q8NEZ4	84	1.8	1055	1138
6mlc	D	Q8NEZ4	83	1.8	1055	1137
6hyj	A	P78330	221	1.929	4	224
6hyj	B	P78330	222	1.929	1	1	3	223
6lml	B	P62873	306	3.9	35	340
6lml	R	P47871	395	3.9	27	421
6g4w	B	P61247	213	4.5	21	233
6g4w	T	P39019	144	4.5	2	145
6g4w	q	O43709	192	4.5	16	207
6g4w	t	Q96GA3	18	4.5	352	369
6g4w	u	Q2NL82	628	4.5	48	105	109	313	342	363	392	405	464	792
6g4w	w	Q13895	248	4.5	180	427
6i0l	A	P00915	257	1.4	4	260
6i0l	B	P00915	257	1.4	4	260
6miz	A	O94759	1337	6.1	67	988	1020	1165	1235	1503
6miz	B	O94759	1337	6.1	67	988	1020	1165	1235	1503
6miz	C	O94759	1337	6.1	67	988	1020	1165	1235	1503
6miz	D	O94759	1337	6.1	67	988	1020	1165	1235	1503
6i2m	B	Q13618	343	2.3	24	328	344	381
6mqg	A	P01116	167	1.5	3	169
6lr0	U	O95342	1230	3.5	44	659	686	719	736	1315
6mq6	A	P14902	371	3.05	14	360	379	402
6mq6	B	P14902	366	3.05	13	358	383	402
6i33	A	P23378	950	2.3	49	501	505	789	794	1005
6i33	B	P23378	925	2.3	51	633	642	676	693	720	723	789	793	1004
6k1d	A	Q9NVH0	192	3	77	113	119	219	224	260	278	294
6k1d	B	Q9NVH0	193	3	77	113	118	218	223	260	276	292
6k22	A	P08758	316	2.747	3	318
6m8d	A	Q8NFU5	235	2	65	260	378	416
6m66	A	Q96RD7	265	4.1	35	157	195	336
6m66	B	Q96RD7	265	4.1	35	157	195	336
6m66	C	Q96RD7	265	4.1	35	157	195	336
6m66	D	Q96RD7	265	4.1	35	157	195	336
6m66	E	Q96RD7	265	4.1	35	157	195	336
6m66	F	Q96RD7	265	4.1	35	157	195	336
6m66	G	Q96RD7	265	4.1	35	157	195	336
6m68	A	Q96RD7	265	4.6	35	157	195	336
6m68	B	Q96RD7	265	4.6	35	157	195	336
6m68	C	Q96RD7	265	4.6	35	157	195	336
6m68	D	Q96RD7	265	4.6	35	157	195	336
6m68	E	Q96RD7	265	4.6	35	157	195	336
6m68	F	Q96RD7	265	4.6	35	157	195	336
6m68	G	Q96RD7	265	4.6	35	157	195	336
6hgg	A	P01011	339	1.787	22	360
6hgg	B	P01011	34	1.787	367	400
6hgi	A	P01011	338	1.517	23	360
6hgi	B	P01011	35	1.517	366	400
6hgj	A	P01011	339	1.825	22	360
6hgj	B	P01011	34	1.825	367	400
6hgs	A	P07741	176	1.55	3	103	106	180
6hgs	B	P07741	173	1.55	3	101	107	180
6hgv	A	P34913	319	2	229	547
6hgx	A	P34913	319	2.16	229	547
6hhp	B	P03372	5	1.802	591	595
6kdx	A	Q9Y233	322	2.44	449	770
6kdx	B	Q9Y233	322	2.44	449	770
6lss	4	Q9BZE4	620	3.23	2	560	574	634
6lss	9	O00488	86	3.23	3	37	55	105
6lss	D	P36578	358	3.23	4	361
6lss	R	Q96EY4	150	3.23	17	166
6lss	S	P50914	135	3.23	2	136
6lss	U	P61313	203	3.23	2	204
6lss	V	P40429	201	3.23	3	203
6lss	a	P84098	148	3.23	2	149
6lss	l	P46779	125	3.23	2	126
6lss	m	P62917	248	3.23	2	249
6lss	z	Q9BRT6	34	3.23	2	35
6i76	A	P17931	138	1.2	113	250
6i79	A	P35270	261	1.63	1	261
6i79	B	P35270	261	1.63	1	261
6i6t	A	P35270	259	1.79	3	261
6i6t	B	P35270	259	1.79	3	261
6i7q	H	Q99814	17	1.798	526	542
6i7q	V	P40337	151	1.798	60	210
6ke3	B	O43837	327	3.307	14	340
6ke3	D	O43837	327	3.307	14	340
6ke3	F	O43837	327	3.307	14	340
6ke3	H	O43837	327	3.307	14	340
6i83	A	P07949	287	1.88	705	821	844	1013
6m1b	A	P61769	99	1.88	1	99
6ht1	A	Q03111	143	2.1	2	144
6ic2	A	P00918	259	1.15	3	261
6ic6	A	P53634	118	1.898	1	118
6ic6	B	P53634	162	1.898	206	367
6ic6	C	P53634	68	1.898	372	439
6lxe	A	Q9NRR4	768	4.2	411	461	505	925	962	1257
6lxe	B	Q8WYQ5	24	4.2	727	750
6lxe	C	Q8WYQ5	21	4.2	729	749
6ieu	A	O15016	167	1.787	968	1017	1039	1155
6msb	G	P60900	240	3	5	244
6msb	Q	P49721	199	3	1	199
6msb	R	P28074	201	3	1	201
6msb	V	O43242	508	3	18	525
6msb	Y	Q15008	378	3	12	389
6msb	d	P48556	257	3	1	257
6msb	f	Q13200	889	3	1	889
6msb	g	P60900	240	3	5	244
6msb	q	P49721	199	3	1	199
6msb	r	P28074	201	3	1	201
6kk7	A	P43220	263	3.1	136	203	218	257	261	372	380	422
6kk7	B	P43220	261	3.1	136	203	219	257	261	371	380	422
6jjp	C	Q15116	117	2.9	30	146
6jjp	F	Q15116	118	2.9	29	146
6jjr	A	Q13231	370	1.834	22	391
6iuo	A	P22455	274	2.3	445	489	492	568	582	633	651	750
6jlb	A	P02545	202	3.205	46	247
6jlb	B	P02545	207	3.205	45	251
6jlb	C	P02545	256	3.205	27	282
6jlb	D	P02545	221	3.205	31	251
6mer	A	Q9Y5G1	414	3	1	414
6mda	A	Q06124	468	2.21	4	34	37	84	96	139	144	155	165	236	245	293	302	312	325	525
6mda	B	Q06124	470	2.21	4	83	87	89	96	139	144	153	165	235	245	293	301	312	325	525
6md0	A	P37231	255	1.95	207	239	242	263	275	474
6md0	B	P37231	257	1.95	207	240	243	270	275	461	467	474
6mfa	A	P02751	363	1.754	906	1268
6md9	A	Q06124	468	2.12	4	34	37	84	96	139	144	155	165	236	245	293	302	312	325	525
6md9	B	Q06124	470	2.12	4	83	87	89	96	139	144	153	165	235	245	293	301	312	325	525
6mfq	A	P54278	303	2.6	33	85	109	334	342	365
6mfq	B	P54278	302	2.6	33	85	109	333	342	365
6jto	A	P10321	273	1.7	2	274
6jto	B	P61769	98	1.7	1	98
6jto	C	P01116	10	1.7	1	10
6jrs	C	P0DP23	68	3.7	10	77
6jrs	F	P0DP23	68	3.7	10	77
6jrs	I	P0DP23	68	3.7	10	77
6jrs	L	P0DP23	68	3.7	10	77
6h77	A	Q9GZZ9	301	2.1	36	321	332	346
6h77	B	Q9GZZ9	302	2.1	36	323	333	346
6h77	C	Q9GZZ9	301	2.1	36	322	333	346
6h77	D	Q9GZZ9	301	2.1	36	322	333	346
6hal	B	P68871	145	2.2	2	146
6hal	D	P68871	145	2.2	2	146
6im6	A	Q08499	325	1.702	87	411
6im6	B	Q08499	323	1.702	89	411
6imo	A	Q08499	324	1.55	88	411
6imo	B	Q08499	320	1.55	89	293	297	411
6jd0	A	P07711	314	1.805	1	78	80	273	275	316
6kxa	A	P17931	138	1.23	113	250
6kxb	A	P17931	138	1.5	113	250
6kxx	B	Q9UBK2	11	1.95	141	151
6kz1	A	Q9P202	94	1.694	814	907
6kz1	B	Q9UKN7	12	1.694	3500	3511
6kze	A	Q9Y233	306	2.50003487525	463	768
6kze	B	Q9Y233	319	2.50003487525	449	767
6kzh	C	Q96RK0	5	2.645	171	175
6kzh	Q	Q96RK0	5	2.645	171	175
6kyj	A	P0C510	448	1.7	13	17	22	464
6kyj	C	P0C510	448	1.7	13	17	22	464
6kyj	E	P0C510	450	1.7	13	17	20	464
6kyj	G	P0C510	447	1.7	13	17	22	332	334	464
6lae	A	P23025	116	2.81	101	216
6lae	B	P23025	116	2.81	101	216
6lb4	B	Q15596	10	1.5	686	695
6ldx	B	Q9Y2U5	7	1.8	8	14
6ldy	C	Q9Y2U5	9	1.77	6	14
6ldy	M	Q9Y2U5	10	1.77	5	14
6l6c	A	Q05315	140	1.77	1	140
6l67	A	Q05315	141	1.97	2	142
6l6a	A	Q05315	142	1.81	1	142
6k7y	J	Q8IYU8	319	3.6	83	211	229	418
6k7y	W	Q8IYU8	319	3.6	83	211	229	418
6l6e	A	O76074	324	1.92	536	859
6l5j	A	Q5TZA2	206	2.77	1108	1313
6l5j	B	Q5TZA2	207	2.77	1108	1314
6l5j	C	Q5TZA2	207	2.77	1108	1314
6l5j	D	Q5TZA2	201	2.77	1111	1311
6hkf	B	P03372	5	1.801	591	595
6hkq	A	P36969	165	1.54	6	170
6hl0	A	Q96RI1	228	1.66	244	471
6ip8	1D	P62917	248	3.9	2	249
6ip8	1F	P36578	368	3.9	1	368
6ip8	20	P39019	143	3.9	2	144
6ip8	21	P60866	104	3.9	16	119
6ip8	2G	P50914	139	3.9	2	140
6ip8	2H	P61313	203	3.9	2	204
6ip8	2I	P40429	201	3.9	3	203
6ip8	2L	P84098	187	3.9	2	188
6ip8	2k	P46779	125	3.9	2	126
6ip8	2o	P61247	214	3.9	21	234
6hkx	A	P52732	320	2.8	17	29	38	249	255	271	287	364
6hkx	B	P52732	323	2.8	17	31	38	56	61	271	287	364
6hkj	A	Q04609	694	2.09	55	653	656	750
6hmv	A	Q9H3P7	126	2.244	367	436	473	528
6hml	A	Q86W56	501	2.25	449	463	469	523	531	945	948	963
6hmn	A	Q86W56	505	2.87	450	465	470	525	531	963
6hmp	A	P48730	286	2.039	8	31	33	294
6hmp	B	P48730	278	2.039	1	42	46	214	227	293
6hmx	A	O43353	280	2.53	5	49	55	171	187	200	207	310
6hmx	B	O43353	282	2.53	5	49	60	172	187	310
6ko0	A	Q9Y233	308	2.60002905998	462	769
6ko0	B	Q9Y233	321	2.60002905998	449	769
6kp3	A	Q8WUM4	357	2.2	2	358
6kps	A	P14902	370	2.249	12	360	380	400
6kps	B	P14902	373	2.249	12	360	380	403
6kpf	B	P62873	338	2.9	3	340
6kpf	R	P34972	290	2.9	21	227	237	319
6nf3	A	P02654	46	2.33	8	53
6nf3	B	P02654	51	2.33	4	54
6ng3	A	Q92956	96	2.88	1041	1131	1135	1139
6nfg	A	Q8N884	348	2.76	161	254	261	302	307	366	370	521
6nfg	B	Q8N884	346	2.76	161	254	258	290	294	301	307	365	369	520
6ng1	A	P29475	413	2.15	302	343	352	722
6ng1	B	P29475	410	2.15	304	344	354	722
6ng4	A	P29475	414	1.776	302	343	351	722
6ng4	B	P29475	410	1.776	304	344	354	722
6nfj	A	Q86Z14	844	3.19	53	62	79	117	126	507	512	536	576	700	706	968
6nfj	C	O95750	19	3.19	191	204	209	213
6nfj	D	Q86Z14	846	3.19	53	62	79	117	121	507	514	536	576	699	706	968
6nfj	F	O95750	19	3.19	191	204	209	213
6omo	I	P22004	104	2.8	36	139
6omo	J	P22004	104	2.8	36	139
6obb	A	O60674	272	1.904	537	808
6neq	z	Q9H2K0	207	3.32	58	264
6osh	K	Q01974	81	1.117	314	394
6oub	A	P00918	258	1.418	4	261
6ouj	A	P00918	258	1.466	4	261
6q9s	A	O15151	87	2.4	23	109
6q9s	B	O15151	86	2.4	26	111
6q9s	C	O15151	88	2.4	23	110
6qac	A	P06276	526	2.771	4	529
6qcb	A	P07339	97	1.55	1	97
6qcb	B	P07339	241	1.55	107	347
6q9r	A	P06396	715	2.73	31	152	157	258	262	279	282	754
6q9r	B	P06396	713	2.73	31	258	263	278	280	373	378	752
6qvj	I	Q5T5Y3	110	3.8	0	59	64	68	72	116
6qex	A	P08183	1182	3.6	32	630	694	1276
6o3t	A	Q99958	95	3.06	70	164
6o3t	B	Q99958	65	3.06	73	87	91	134	143	148
6n6o	A	P33981	254	2.6	515	669	686	698	709	794
6o5o	A	P98082	151	1.75	31	181
6o5o	B	P98082	150	1.75	31	180
6o5f	A	O00571	417	2.504	134	151	162	254	264	405	413	503	508	580
6o5f	B	O00571	417	2.504	134	151	162	254	264	405	413	503	508	580
6nth	A	P22303	534	2.421	3	259	262	492	497	542
6nth	B	P22303	530	2.421	4	259	265	492	497	542
6nje	A	Q14807	292	2.2	40	54	72	230	242	284	295	369
6p27	A	P01889	276	1.593	1	276
6p27	B	P61769	99	1.593	1	99
6o81	A	Q13144	590	3.21	41	466	549	688	692	715
6o81	B	Q13144	590	3.21	41	466	549	688	692	715
6o81	C	P49770	317	3.21	8	98	126	351
6o81	D	P49770	318	3.21	8	98	125	351
6o81	E	Q9UI10	357	3.21	166	522
6o81	F	Q9UI10	357	3.21	166	522
6o81	G	Q14232	285	3.21	4	252	270	305
6o81	H	Q14232	285	3.21	4	252	270	305
6o81	I	Q9NR50	240	3.21	1	11	28	134	155	238	258	295
6o81	J	Q9NR50	240	3.21	1	11	28	134	155	238	258	295
6p2f	A	P01889	275	1.482	1	275
6p2f	B	P61769	99	1.482	1	99
6p7f	A	O95255	248	2.85003990159	1255	1396	1398	1503
6p8w	A	P01116	168	2.1	1	168
6p8w	B	P01116	167	2.1	1	167
6p8y	A	P01116	166	2.31	1	166
6p8y	B	P01116	157	2.31	1	30	33	60	70	168
6p8x	A	P01116	166	2.11	2	167
6p8x	B	P01116	166	2.11	2	167
6p8x	C	P01116	167	2.11	1	167
6p8x	D	P01116	167	2.11	1	167
6p8q	A	P00533	309	1.9	699	863	876	1019
6p8q	B	P00533	300	1.9	698	864	875	1007
6p8q	C	P00533	316	1.9	699	1014
6p8q	D	P00533	296	1.9	700	863	876	1007
6p9x	A	P63092	192	2.91	11	47	205	249	264	292	308	364	371	394
6p9x	B	P62873	338	2.91	3	340
6pfl	A	Q7Z6Z7	76	2.1	1613	1688
6pfl	B	Q7Z6Z7	78	2.1	1613	1690
6pl7	A	Q9Y253	427	2.5	1	154	160	432
6pf3	A	P04818	284	2.391	30	313
6pf3	B	P04818	284	2.391	30	313
6pf3	C	P04818	284	2.391	30	313
6pf3	D	P04818	284	2.391	30	313
6pf6	A	P04818	306	2.502	2	307
6pf6	B	P04818	284	2.502	30	313
6pf6	C	P04818	284	2.502	30	313
6pf6	D	P04818	306	2.502	2	307
6pek	A	Q9UBP0	283	4.2	323	472	478	610
6pek	B	Q9UBP0	288	4.2	323	610
6pek	C	Q9UBP0	288	4.2	323	610
6pek	D	Q9UBP0	293	4.2	318	610
6pek	E	Q9UBP0	243	4.2	323	540	544	554	597	610
6pnc	A	P29475	421	2.15	302	722
6pnc	B	P29475	419	2.15	303	721
6png	A	P29475	412	1.775	303	343	352	722
6png	B	P29475	409	1.775	304	343	354	722
6pnf	A	P29475	414	2.1	302	344	352	722
6pnf	B	P29475	408	2.1	304	343	354	721
6ql3	A	P00918	258	1.35	4	261
6q0n	A	Q96RT1	90	1.18	3	92
6q0n	B	Q96RT1	90	1.18	3	92
6pyz	A	P48775	351	2.02	39	389
6pyz	B	P48775	348	2.02	38	175	180	389
6pyz	C	P48775	331	2.02	39	175	179	237	255	389
6pyz	D	P48775	341	2.02	39	243	247	338	346	389
6q0k	A	P15056	285	6.8	449	464	469	737
6q0k	B	P15056	281	6.8	449	464	469	733
6nna	A	P49327	608	2.26	1109	1150	1173	1188	1199	1362	1369	1522	1877	2071	2077	2113
6nna	B	P49327	608	2.26	1109	1149	1174	1189	1199	1362	1369	1522	1877	2072	2077	2113
6q0d	A	P00338	331	2.05	1	331
6q0d	B	P00338	331	2.05	1	331
6q0d	C	P00338	331	2.05	1	331
6q0d	D	P00338	331	2.05	1	331
6q0d	E	P00338	331	2.05	1	331
6q0d	F	P00338	331	2.05	1	331
6nq5	B	P68871	145	1.85	1	145
6npe	A	P00519	264	2.15	251	293	299	519
6npe	B	P00519	256	2.15	252	292	299	402	420	530
6oi3	B	Q6NXT2	5	1.66	1	5
6qrm	C	Q96NN9	8	2.3	1	8
6qrm	D	Q96NN9	9	2.3	1	9
6nn8	A	P30613	505	2.416	20	133	144	155	165	543
6nn8	B	P30613	518	2.416	23	138	141	542
6nn8	C	P30613	499	2.416	18	135	143	156	166	200	205	225	233	543
6nn8	D	P30613	421	2.416	13	89	92	129	238	543
6nn8	E	P30613	509	2.416	23	137	144	490	494	529	533	543
6nn8	F	P30613	417	2.416	22	110	117	131	230	529	531	543
6nn8	G	P30613	395	2.416	20	89	94	112	116	130	250	529	533	543
6nn8	H	P30613	407	2.416	24	89	92	110	116	133	236	243	247	529	531	543
6oij	B	P62873	339	3.3	2	340
6pq3	A	P01116	161	1.75	1	64	81	177
6pqa	A	P04156	6	1.46	1	6
6ppl	C	P41227	160	3.02	1	160
6psb	A	O60885	124	1.59	44	167
6mx0	A	Q86WV6	168	1.73	155	227	240	317	321	337
6mx0	B	Q86WV6	170	1.73	155	227	240	336
6mxe	A	Q86WV6	163	2.47	155	227	241	316	322	335
6mxe	B	Q86WV6	168	2.47	155	227	241	335
6psf	U	Q6ZTQ4	108	3.5	20	127
6mz0	A	Q9NUW8	437	1.969	162	427	433	561	566	607
6mz0	B	Q9NUW8	438	1.969	162	427	433	562	566	607
6nb9	A	P05067	15	1.05	20	34
6q3o	A	P00918	257	2.23	4	260
6q3o	B	P00918	257	2.23	4	260
6q3o	C	P00918	257	2.23	4	260
6q3o	D	P00918	257	2.23	4	260
6rff	A	P68400	328	1.8	3	330
6rjl	P	Q9GZV5	10	1.28	124	133
6u8g	A	O60885	126	2.6	42	167
6u8g	B	O60885	126	2.6	42	167
6u8g	C	O60885	108	2.6	60	167
6u8g	D	O60885	107	2.6	61	167
6u91	A	Q9UBC3	291	2.99998872297	563	853
6u91	B	Q9UJW3	193	2.99998872297	179	351	360	379
6u91	C	Q9UJW3	192	2.99998872297	179	350	360	379
6u91	D	Q9UBC3	291	2.99998872297	563	853
6sny	B	Q9UNN8	169	3.11	9	177
6sny	C	Q9UNN8	169	3.11	9	177
6q6h	A	Q9H1A4	1551	3.2	10	49	71	193	205	227	236	280	400	416	423	515	582	677	703	733	746	824	829	884	892	900	924	987	1010	1335	1347	1438	1452	1713	1725	1829	1839	1901	1910	1936
6q6h	Y	Q9UJX3	499	3.2	36	110	132	555
6q6h	Z	Q9UJX3	486	3.2	36	111	131	540
6spw	A	P68400	327	1.599	3	329
6v87	A	P03372	213	2.4	309	330	336	457	473	530	535	545
6v87	B	P03372	214	2.4	307	334	342	460	472	527	536	546
6rmu	A	P01024	297	2.4	3	299
6rmu	B	P01024	298	2.4	3	300
6rn9	A	P53634	118	1.9	1	118
6rn9	B	P53634	161	1.9	207	367
6rn9	C	P53634	68	1.9	372	439
6rns	A	Q8TEQ6	243	2.69	845	878	887	1095
6rns	B	Q8TEQ6	252	2.69	845	885	886	886	887	1096
6v8c	A	P04181	404	1.9	36	439
6v8c	B	P04181	404	1.9	36	439
6v8c	C	P04181	404	1.9	36	439
6ro1	B	O15381	18	3.07	172	189
6v7c	A	P05089	317	1.8	3	319
6v7c	B	P05089	318	1.8	3	320
6v7c	C	P05089	317	1.8	3	319
6v7c	D	P05089	318	1.8	2	319
6v7c	E	P05089	319	1.8	2	320
6v7c	F	P05089	316	1.8	5	320
6rp6	P	Q9GZV5	10	1.885	124	133
6vb0	B	P61769	99	1.9	1	99
6rp9	A	P04439	275	3.12	1	275
6rp9	B	P61769	99	3.12	1	99
6rp9	F	P04439	275	3.12	1	275
6rp9	G	P61769	99	3.12	1	99
6tof	A	P41182	124	1.67	6	129
6tpw	A	P10586	375	2.9	319	339	346	652	658	704
6to7	A	O43613	300	2.26	45	245	247	253	286	377
6to7	B	O43613	304	2.26	30	187	199	244	249	253	286	380
6sb8	A	O60885	125	1.5	44	168
6sbm	A	P00918	258	0.95	4	261
6tp4	A	O43613	298	3.011	28	188	199	243	252	253	286	375
6tp4	B	O43613	300	3.011	46	253	286	377
6tq7	A	O43613	301	2.6636	45	252	285	377
6tq7	B	O43613	308	2.6636	28	187	199	252	285	378
6sdj	A	P00918	259	1.02	3	261
6sdh	A	P00918	258	1.04	4	261
6sdl	A	P00918	258	1.08	4	261
6tq0	B	O14490	8	1.95	225	232
6tq0	D	O14490	6	1.95	226	231
6tq0	F	O14490	7	1.95	226	232
6tq0	H	O14490	7	1.95	226	232
6tq0	J	O14490	8	1.95	225	232
6tq0	L	O14490	7	1.95	226	232
6tq0	N	O14490	6	1.95	226	231
6tq0	P	O14490	7	1.95	225	231
6rzg	A	P17931	138	1.015	113	250
6val	A	Q9HA72	254	3.87	34	80	90	91	92	137	146	304
6val	B	Q9HA72	254	3.87	34	80	90	91	92	137	146	304
6val	C	Q9HA72	254	3.87	34	80	90	91	92	137	146	304
6val	D	Q9HA72	254	3.87	34	80	90	91	92	137	146	304
6val	E	Q9HA72	254	3.87	34	80	90	91	92	137	146	304
6val	F	Q9HA72	254	3.87	34	80	90	91	92	137	146	304
6val	G	Q9HA72	254	3.87	34	80	90	91	92	137	146	304
6val	H	Q9HA72	254	3.87	34	80	90	91	92	137	146	304
6val	I	Q9HA72	254	3.87	34	80	90	91	92	137	146	304
6val	J	Q9HA72	254	3.87	34	80	90	91	92	137	146	304
6val	K	Q9HA72	254	3.87	34	80	90	91	92	137	146	304
6sdz	A	P02766	92	2.97	11	35	57	123
6sdz	B	P02766	92	2.97	11	35	57	123
6sdz	C	P02766	92	2.97	11	35	57	123
6sdz	D	P02766	92	2.97	11	35	57	123
6sdz	E	P02766	92	2.97	11	35	57	123
6sdz	F	P02766	92	2.97	11	35	57	123
6sdz	G	P02766	92	2.97	11	35	57	123
6sdz	H	P02766	92	2.97	11	35	57	123
6sdz	I	P02766	92	2.97	11	35	57	123
6sdz	J	P02766	92	2.97	11	35	57	123
6sdz	K	P02766	92	2.97	11	35	57	123
6sbu	A	P00338	328	2.91	2	14	18	332
6sbu	B	P00338	328	2.91	2	14	18	332
6sbu	C	P00338	328	2.91	2	14	18	332
6sbu	D	P00338	328	2.91	2	14	18	332
6sbu	E	P00338	328	2.91	2	14	18	332
